species,host,date_est,year,day,survp,masspm,sex,durationl,culu
brumata,Betula,01/05/2020,2020,0,1,18.3,M,23,1
brumata,Betula,01/05/2020,2020,0,1,25,F,23,1
brumata,Betula,01/05/2020,2020,0,1,22.4,F,23,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,0,,,,1
brumata,Betula,01/05/2020,2020,0,1,35.9,M,23,2
brumata,Betula,01/05/2020,2020,0,1,21.3,M,23,2
brumata,Betula,01/05/2020,2020,0,1,26,M,29,2
brumata,Betula,01/05/2020,2020,0,1,28.7,F,29,2
brumata,Betula,01/05/2020,2020,0,1,28,F,23,2
brumata,Betula,01/05/2020,2020,0,0,,,,2
brumata,Betula,01/05/2020,2020,0,0,,,,2
brumata,Betula,01/05/2020,2020,0,0,,,,2
brumata,Betula,01/05/2020,2020,0,0,,,,2
brumata,Betula,01/05/2020,2020,0,0,,,,2
brumata,Betula,01/05/2020,2020,0,1,22.2,F,29,3
brumata,Betula,01/05/2020,2020,0,1,26.5,F,33,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,0,0,,,,3
brumata,Betula,01/05/2020,2020,2,1,26.8,M,21,4
brumata,Betula,01/05/2020,2020,2,1,23.6,M,21,4
brumata,Betula,01/05/2020,2020,2,1,21.1,M,21,4
brumata,Betula,01/05/2020,2020,2,1,27.2,M,21,4
brumata,Betula,01/05/2020,2020,2,1,29.8,M,21,4
brumata,Betula,01/05/2020,2020,2,1,20.9,F,29,4
brumata,Betula,01/05/2020,2020,2,1,21.8,F,29,4
brumata,Betula,01/05/2020,2020,2,0,,,,4
brumata,Betula,01/05/2020,2020,2,0,,,,4
brumata,Betula,01/05/2020,2020,2,0,,,,4
brumata,Betula,01/05/2020,2020,2,1,19.3,M,21,5
brumata,Betula,01/05/2020,2020,2,1,18.1,M,21,5
brumata,Betula,01/05/2020,2020,2,1,25.7,F,23,5
brumata,Betula,01/05/2020,2020,2,1,24.8,F,27,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,0,,,,5
brumata,Betula,01/05/2020,2020,2,1,25.4,F,23,6
brumata,Betula,01/05/2020,2020,2,1,22.2,F,23,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,2,0,,,,6
brumata,Betula,01/05/2020,2020,4,1,25.6,M,25,7
brumata,Betula,01/05/2020,2020,4,1,21.6,F,27,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,0,,,,7
brumata,Betula,01/05/2020,2020,4,1,22.4,M,25,8
brumata,Betula,01/05/2020,2020,4,1,22.8,M,25,8
brumata,Betula,01/05/2020,2020,4,1,24.4,F,27,8
brumata,Betula,01/05/2020,2020,4,0,,,,8
brumata,Betula,01/05/2020,2020,4,0,,,,8
brumata,Betula,01/05/2020,2020,4,0,,,,8
brumata,Betula,01/05/2020,2020,4,0,,,,8
